,Type,Address,District,City,Price (€),Area (sqm.),Year built,Form of ownership
119,"Rivitalo | 3h, k vh, erill.wc, khh, kph, s, terassi, var.",Kievarinkuja 2,Mannila,Jyväskylä,215 000,76,1993,Omistusasunto
120,"Omakotitalo | 2mh, oh, k, wc, ph, s, vh, et, khh, at.",Virpikatu 16,Renkomäki,Lahti,169 000,"92,5",1987,Omistusasunto
121,Rivitalo | 4h + kt + s + var + autokatos + autotalli n.20 m2,Puuskarinne 8 D3,Laajasalo,Helsinki,928 000,121,2024,Omistusasunto
122,Rivitalo | 4h + kt + s + var + autokatos + autotalli n.20 m2,Puuskarinne 8 E3,Laajasalo,Helsinki,936 000,121,2024,Omistusasunto
123,Rivitalo | 4h + kt + s + var + autokatos + autotalli n.20 m2,Puuskarinne 8 E4,Laajasalo,Helsinki,949 000,121,2024,Omistusasunto
124,Rivitalo | 4h + kt + s + var + autokatos + autotalli n.20 m2,Puuskarinne 8 D1,Laajasalo,Helsinki,949 000,121,2024,Omistusasunto
125,Rivitalo | 4h + kt + s + var + autokatos + autotalli n.20 m2,Puuskarinne 8 E2,Laajasalo,Helsinki,936 000,121,2024,Omistusasunto
126,Rivitalo | 4h + kt + s + var + autokatos + autotalli n.20 m2,Puuskarinne 8 D4,Laajasalo,Helsinki,932 000,121,2024,Omistusasunto
127,Rivitalo | 4h + kt + s + var + autokatos + autotalli n.20 m2,Puuskarinne 8 D2,Laajasalo,Helsinki,928 000,121,2024,Omistusasunto
128,Rivitalo | 3h + kt + s + var + autokatos,Puuskarinne 8 C5,Laajasalo,Helsinki,582 000,"81,5",2024,Omistusasunto
129,Rivitalo | 4h + kt + s + var + autokatos + autotalli n.20 m2,Puuskarinne 8 E1,Laajasalo,Helsinki,958 000,121,2024,Omistusasunto
130,Rivitalo | 3h + kt + s + var + autokatos,Puuskarinne 8 C4,Laajasalo,Helsinki,579 000,"81,5",2024,Omistusasunto
